cluster_id,latitude,longitude,first_seen,last_seen,duration_hours,detection_count,average_frp,maximum_frp,average_brightness,detections_7d,detections_30d,unique_detection_days,persistence,confidence,primary_satellite,distance_to_center_km,detection_ids
EVENT_11893,30.96369,76.29449,2026-05-16 07:44,2026-05-16 07:44,0.0,1,8.5,8.5,341.85,1,1,1,Transient,low,N21,39.025,['FIRMS_N21_20260516_0744_30.9637N_76.2945E']
EVENT_11894,30.96462,76.3401,2026-05-16 07:44,2026-05-16 07:44,0.0,1,12.17,12.17,346.8,1,1,1,Transient,nominal,N21,43.274,['FIRMS_N21_20260516_0744_30.9646N_76.3401E']
EVENT_11895,30.80442,75.61371,2026-05-16 07:44,2026-05-16 07:44,0.0,1,6.2,6.2,335.46,1,1,1,Transient,low,N21,28.317,['FIRMS_N21_20260516_0744_30.8044N_75.6137E']
EVENT_11896,30.79562,75.58835,2026-05-16 07:44,2026-05-16 07:44,0.0,1,5.16,5.16,336.78,1,1,1,Transient,low,N21,30.918,['FIRMS_N21_20260516_0744_30.7956N_75.5884E']
EVENT_11897,30.76444,75.44736,2026-05-16 07:44,2026-05-16 07:44,0.0,2,5.99,7.17,340.06,2,2,1,Transient,nominal,N21,44.817,"['FIRMS_N21_20260516_0744_30.7641N_75.4460E', 'FIRMS_N21_20260516_0744_30.7648N_75.4488E']"
EVENT_11898,30.79638,75.614495,2026-05-16 07:44,2026-05-16 07:44,0.0,2,10.15,10.31,342.04,2,2,1,Transient,nominal,N21,28.51,"['FIRMS_N21_20260516_0744_30.7970N_75.6156E', 'FIRMS_N21_20260516_0744_30.7958N_75.6134E']"
EVENT_11899,30.77653,75.53095,2026-05-16 07:44,2026-05-16 07:44,0.0,2,4.67,4.83,339.01,2,2,1,Transient,nominal,N21,36.783,"['FIRMS_N21_20260516_0744_30.7769N_75.5321E', 'FIRMS_N21_20260516_0744_30.7762N_75.5298E']"
EVENT_1190,31.17349,76.19052,2025-05-04 08:00,2025-05-04 08:00,0.0,1,6.15,6.15,348.16,1,1,1,Transient,nominal,N20,43.26,['FIRMS_N20_20250504_0800_31.1735N_76.1905E']
EVENT_11900,30.79043,75.62426,2026-05-16 07:44,2026-05-16 07:44,0.0,2,14.27,14.33,340.92,2,2,1,Transient,low,N21,27.844,"['FIRMS_N21_20260516_0744_30.7905N_75.6227E', 'FIRMS_N21_20260516_0744_30.7903N_75.6258E']"
EVENT_11901,30.80152,75.72698,2026-05-16 07:44,2026-05-16 07:44,0.0,1,7.03,7.03,338.37,1,1,1,Transient,low,N21,18.33,['FIRMS_N21_20260516_0744_30.8015N_75.7270E']
EVENT_11902,30.90597,76.29156,2026-05-16 07:44,2026-05-16 07:44,0.0,1,7.38,7.38,339.93,1,1,1,Transient,low,N21,37.66,['FIRMS_N21_20260516_0744_30.9060N_76.2916E']
EVENT_11903,30.75859,75.70508,2026-05-16 07:44,2026-05-16 07:44,0.0,1,8.71,8.71,341.08,1,1,1,Transient,nominal,N21,22.593,['FIRMS_N21_20260516_0744_30.7586N_75.7051E']
EVENT_11904,30.71056,75.47375,2026-05-16 07:44,2026-05-16 07:44,0.0,1,8.45,8.45,346.29,1,1,1,Transient,nominal,N21,44.529,['FIRMS_N21_20260516_0744_30.7106N_75.4737E']
EVENT_11905,30.7667,75.76836,2026-05-16 07:44,2026-05-16 07:44,0.0,1,7.88,7.88,339.44,1,1,1,Transient,low,N21,17.352,['FIRMS_N21_20260516_0744_30.7667N_75.7684E']
EVENT_11906,30.74822,75.77297,2026-05-16 07:44,2026-05-16 07:44,0.0,1,5.36,5.36,342.32,1,1,1,Transient,low,N21,18.557,['FIRMS_N21_20260516_0744_30.7482N_75.7730E']
EVENT_11907,30.7492,75.77814,2026-05-16 07:44,2026-05-16 07:44,0.0,1,5.36,5.36,336.69,1,1,1,Transient,low,N21,18.158,['FIRMS_N21_20260516_0744_30.7492N_75.7781E']
